impression_id,user_id,candidate_news_id,clicked,score
10207,U24163,N62001,0,0.7308943867683411
10207,U24163,N17807,0,0.6572615504264832
10207,U24163,N53242,1,0.645763635635376
10756,U20979,N31958,0,0.9146369099617004
10756,U20979,N20036,1,0.7927944660186768
10756,U20979,N23513,0,0.7070180773735046
1091,U58223,N31958,0,0.6940222382545471
1091,U58223,N13556,0,0.6232092976570129
1091,U58223,N53242,0,0.5881996154785156
11551,U15248,N60215,0,0.5412828326225281
11551,U15248,N1952,1,0.5406153798103333
11551,U15248,N53572,0,0.524959921836853
12578,U25867,N21171,0,0.6695364117622375
12578,U25867,N24675,0,0.6531113386154175
12578,U25867,N49285,1,0.6172612905502319
128,U78907,N60939,0,0.7712169289588928
128,U78907,N20187,0,0.7450266480445862
128,U78907,N5051,0,0.5906633734703064
13621,U69693,N20036,0,0.6565014719963074
13621,U69693,N42767,0,0.6018083691596985
13621,U69693,N36779,1,0.556532084941864
1584,U28493,N20187,1,0.7437790036201477
1584,U28493,N6638,0,0.574068009853363
1584,U28493,N58098,0,0.5407333970069885
15940,U45427,N52103,1,0.7160395383834839
15940,U45427,N39393,0,0.6600066423416138
15940,U45427,N58748,0,0.5735037326812744
1604,U48568,N31958,0,0.6639283299446106
1604,U48568,N19990,1,0.6336483955383301
1604,U48568,N36779,0,0.622734010219574
